;FEATURES;TRAIN DATE;TEST DATE;MODEL;MODEL_DESCRIPTION;FORECAST_HORIZON;PAST_HISTORY;NORMALIZATION;TRAINING_TIME;TEST_TIME;mape;mae
0;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2021-12-31 23:00:00;2022-01-01 00:00:00 - 2022-01-31 23:00:00;m5p;(10 25);24;24;zscore;36.322630405426025;0.5950071811676025;14.265057614265436;25.111342661866143
1;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2021-12-31 23:00:00;2022-01-01 00:00:00 - 2022-01-31 23:00:00;m5p;(10 25);24;48;zscore;42.2820348739624;0.6611883640289307;14.304744815682865;25.05139367950071
2;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2021-12-31 23:00:00;2022-01-01 00:00:00 - 2022-01-31 23:00:00;m5p;(10 25);24;72;zscore;49.67462968826294;0.7507467269897461;14.822663152789737;26.51462945110844
3;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2021-12-31 23:00:00;2022-01-01 00:00:00 - 2022-01-31 23:00:00;m5p;(10 25);24;168;zscore;78.03551506996155;0.7502751350402832;13.894251928223357;25.09772658457388
4;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2021-12-31 23:00:00;2022-01-01 00:00:00 - 2022-01-31 23:00:00;rf;(300 10 4 1);24;24;zscore;56.28499102592468;0.1002044677734375;13.338366782815132;23.13538650395668
5;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2021-12-31 23:00:00;2022-01-01 00:00:00 - 2022-01-31 23:00:00;rf;(300 10 4 1);24;48;zscore;111.65949153900146;0.1015462875366211;13.212234372892103;22.810863940154128
6;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2021-12-31 23:00:00;2022-01-01 00:00:00 - 2022-01-31 23:00:00;rf;(300 10 4 1);24;72;zscore;174.0273153781891;0.1020858287811279;13.075516121309953;22.846554410915942
7;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2021-12-31 23:00:00;2022-01-01 00:00:00 - 2022-01-31 23:00:00;rf;(300 10 4 1);24;168;zscore;391.0861766338349;0.1050300598144531;12.431666835122602;21.978911288463
8;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2021-12-31 23:00:00;2022-01-01 00:00:00 - 2022-01-31 23:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;24;zscore;238.9868199825287;0.1088278293609619;15.83322492308648;28.433902588651712
9;['hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-01-01 00:00:00 - 2021-12-31 23:00:00;2022-01-01 00:00:00 - 2022-01-31 23:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;48;zscore;450.6884603500366;0.091973066329956;14.951082658531304;26.21600026463957
